name;url;average_product_count;latest_product_count;latest_timestamp_CEST
Alle Haushalt- und Freizeit-Produkte;https://www.medion.com/de/shop/haushalt/alle;60,0;60;2026-09-09 20:38:43
Alle Heissluftfritteusen;https://www.medion.com/de/shop/kueche/heissluftfritteusen;19,0;19;2026-09-09 20:38:43
Alle KÃ¼chengerÃ¤te;https://www.medion.com/at/shop/kueche/alle;88,86;88;2026-09-09 20:38:43
Alle KÃ¼chengerÃ¤te;https://www.medion.com/de/shop/kueche/alle;64,86;64;2026-09-09 20:38:43
Alle Laptops;https://www.medion.com/at/shop/laptops;12,0;12;2026-09-09 20:38:43
Alle Laptops;https://www.medion.com/de/shop/laptops;12,0;12;2026-09-09 20:38:43
Alle Laptops;https://www.medion.com/de/shop/searchpages/alle-laptops;27,0;27;2026-09-09 20:38:43
Alle PCs;https://www.medion.com/at/shop/alle-pcs;9,0;9;2026-09-09 20:38:43
Alle PCs;https://www.medion.com/de/shop/pc/alle;9,0;9;2026-09-09 20:38:43
Alle ReinigungsgerÃ¤te;https://www.medion.com/at/shop/haushalt/reinigungsgeraete;23,0;23;2026-09-09 20:38:43
Alle ReinigungsgerÃ¤te;https://www.medion.com/de/shop/haushalt/reinigungsgeraete;30,0;30;2026-09-09 20:38:43
Alle TVs;https://www.medion.com/at/shop/tv;36,0;36;2026-09-09 20:38:43
Alle TVs;https://www.medion.com/de/shop/tv;58,0;58;2026-09-09 20:38:43
Alle Tablets;https://www.medion.com/at/shop/tablets-alle;2,0;2;2026-09-09 20:38:43
Alle Tablets;https://www.medion.com/de/shop/tablets-alle;2,0;2;2026-09-09 20:38:43
Android TVs;https://www.medion.com/at/shop/tv/android-tv;8,0;8;2026-09-09 20:38:43
Android TVs;https://www.medion.com/de/shop/tv/android-tv;8,0;8;2026-09-09 20:38:43
Angebote Audio;https://www.medion.com/de/shop/audio/angebote;22,0;22;2026-09-09 20:38:43
Angebote Gaming;https://www.medion.com/de/shop/gaming/angebote;13,43;14;2026-09-09 20:38:43
Angebote PC & Monitore;https://www.medion.com/de/shop/pc/angebote;5,43;6;2026-09-09 20:38:43
Angebote TV;https://www.medion.com/de/shop/tv/angebote;25,0;25;2026-09-09 20:38:43
Angebote bei MEDION;https://www.medion.com/at/shop/angebote;113,43;114;2026-09-09 20:38:43
Angebote bei MEDION;https://www.medion.com/de/shop/angebote;125,43;126;2026-09-09 20:38:43
Audio Angebote;https://www.medion.com/at/shop/audio/angebote;22,0;22;2026-09-09 20:38:43
Audio-Systeme;https://www.medion.com/at/shop/musikanlagen;12,0;12;2026-09-09 20:38:43
Audio-Systeme;https://www.medion.com/de/shop/audio/musikanlagen;12,0;12;2026-09-09 20:38:43
Back to School;https://www.medion.com/at/shop/back-to-school;23,0;23;2026-09-09 20:38:43
Back to School;https://www.medion.com/de/shop/back-to-school;23,0;23;2026-09-09 20:38:43
Back to Uni Freizeit;https://www.medion.com/at/shop/btu-freizeit;43,0;43;2026-09-09 20:38:43
Back to Uni Freizeit;https://www.medion.com/de/shop/btu-freizeit;43,0;43;2026-09-09 20:38:43
Back to Uni FrÃ¼hstÃ¼ck;https://www.medion.com/at/shop/btu-fruehstuecken;10,0;10;2026-09-09 20:38:43
Back to Uni FrÃ¼hstÃ¼ck;https://www.medion.com/de/shop/btu-fruehstuecken;10,0;10;2026-09-09 20:38:43
Back to Uni Radio;https://www.medion.com/at/shop/btu-radios;34,0;34;2026-09-09 20:38:43
Back to Uni Radio;https://www.medion.com/de/shop/btu-radios;34,0;34;2026-09-09 20:38:43
Back to Uni Tablet;https://www.medion.com/at/shop/btu-tablets;2,0;2;2026-09-09 20:38:43
Back to Uni Tablet;https://www.medion.com/de/shop/btu-tablets;2,0;2;2026-09-09 20:38:43
Baustellenradio;https://www.medion.com/de/shop/audio/baustellenradio;4,0;4;2026-09-09 20:38:43
Beast 16 X10;https://www.medion.com/de/shop/lp/erazer/beast-16-x10;4,0;4;2026-09-09 20:38:43
Blue Days;https://www.medion.com/at/shop/blue-days;;;2026-09-09 20:38:43
Blue Days;https://www.medion.com/de/shop/blue-days;;;2026-09-09 20:38:43
Bluetooth KopfhÃ¶rer;https://www.medion.com/de/shop/audio/bluetooth-kopfhoerer;6,0;6;2026-09-09 20:38:43
Bluetooth Lautsprecher;https://www.medion.com/at/shop/bluetooth-lautsprecher;12,0;12;2026-09-09 20:38:43
