name	url	average_product_count	historical_min_product_count	historical_max_product_count	latest_product_count	latest_timestamp_CEST
Beast 16 X10	https://www.medion.com/de/shop/lp/erazer/beast-16-x10	3,32	3	4	3	2026-09-15 14:51:20
Bildschirm Flackert	https://www.medion.com/de/shop/search?text=monitor	5,27	5	6	6	2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week					2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week/haushalt-freizeit					2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week/laptops					2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week/tv					2026-09-15 14:51:20
Black Friday - Audio	https://www.medion.com/de/shop/black-week/audio					2026-09-15 14:51:20
Black Friday - Gaming - PC	https://www.medion.com/de/shop/black-week/gaming					2026-09-15 14:51:20
Blue Days	https://www.medion.com/at/shop/blue-days					2026-09-15 14:51:20
Blue Days	https://www.medion.com/de/shop/blue-days					2026-09-15 14:51:20
Bluetooth Kopfhörer	https://www.medion.com/de/shop/audio/bluetooth-kopfhoerer	6,0	6	6	6	2026-09-15 14:51:20
Bluetooth Lautsprecher	https://www.medion.com/at/shop/bluetooth-lautsprecher	12,0	12	12	12	2026-09-15 14:51:20
Bluetooth Lautsprecher	https://www.medion.com/de/shop/bluetooth-lautsprecher	12,0	12	12	12	2026-09-15 14:51:20
Bluetooth-Kopfhörer	https://www.medion.com/at/shop/audio/bluetooth-kopfhoerer	0,0	0	0	0	2026-09-15 14:51:20
Bodenreiniger	https://www.medion.com/at/shop/bodenreiniger	2,0	2	2	2	2026-09-15 14:51:20
Bodenreiniger	https://www.medion.com/de/shop/bodenreiniger	2,0	2	2	2	2026-09-15 14:51:20
Boomboxen	https://www.medion.com/de/shop/audio/boomboxen	11,68	11	12	12	2026-09-15 14:51:20
Brotbackautomaten	https://www.medion.com/at/shop/kueche/brotbackautomaten	2,0	2	2	2	2026-09-15 14:51:20
Brotbackautomaten	https://www.medion.com/de/shop/kueche/brotbackautomaten	2,0	2	2	2	2026-09-15 14:51:20
Camping	https://www.medion.com/at/shop/camping	29,71	29	31	31	2026-09-15 14:51:20
Camping	https://www.medion.com/de/shop/camping	34,71	34	36	36	2026-09-15 14:51:20
Camping Klimaanlage Listing	https://www.medion.com/de/shop/search?text=camping%2520klima	3,77	3	4	4	2026-09-15 14:51:20
Core Gaming Notebooks	https://www.medion.com/at/shop/core-gaming-notebooks	6,95	5	8	5	2026-09-15 14:51:20
Core Gaming Notebooks	https://www.medion.com/de/shop/core-gaming-notebooks	6,95	5	8	5	2026-09-15 14:51:20
Core Gaming PCs	https://www.medion.com/at/shop/core-gaming-pc	7,0	7	7	7	2026-09-15 14:51:20
Core Gaming PCs	https://www.medion.com/de/shop/core-gaming-pc	7,0	7	7	7	2026-09-15 14:51:20
Cyber Week	https://www.medion.com/de/shop/cyber-week					2026-09-15 14:51:20
DAB Radios	https://www.medion.com/at/shop/dab-radios	23,0	23	23	23	2026-09-15 14:51:20
DAB Radios	https://www.medion.com/de/shop/dab-radios	10,0	10	10	10	2026-09-15 14:51:20
Defender 17 P10	https://www.medion.com/de/shop/lp/erazer/defender-17-p10	3,0	3	3	3	2026-09-15 14:51:20
Desktop vs All-in-One	https://www.medion.com/de/shop/pc/desktop | https://www.medion.com/de/shop/pc/all-in-one					2026-09-15 14:51:20
Desktop vs Laptops	https://www.medion.com/de/shop/pc/desktop | https://www.medion.com/de/shop/laptops					2026-09-15 14:51:20
Desktop-PCs	https://www.medion.com/at/shop/desktop-pcs	1,0	1	1	1	2026-09-15 14:51:20
Desktop-PCs	https://www.medion.com/de/shop/pc/desktop	1,0	1	1	1	2026-09-15 14:51:20
